ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
22,JungleHills,0.95,0.9,0.1,0.45,0.3,"HOT, DENSE, WET, JUNGLE, HILLS",net.minecraft.world.biome.BiomeGenJungle
23,JungleEdge,0.95,0.8,0.1,0.1,0.2,"HOT, WET, JUNGLE, FOREST",net.minecraft.world.biome.BiomeGenJungle
24,Deep Ocean,0.5,0.5,0.1,-1.8,0.1,OCEAN,net.minecraft.world.biome.BiomeGenOcean
25,Stone Beach,0.2,0.3,0.1,0.1,0.8,BEACH,net.minecraft.world.biome.BiomeGenStoneBeach
26,Cold Beach,0.05,0.3,0.1,0.0,0.025,"COLD, SNOWY, BEACH",net.minecraft.world.biome.BiomeGenBeach
27,Birch Forest,0.6,0.6,0.1,0.1,0.2,FOREST,net.minecraft.world.biome.BiomeGenForest
28,Birch Forest Hills,0.6,0.6,0.1,0.45,0.3,"FOREST, HILLS",net.minecraft.world.biome.BiomeGenForest
29,Roofed Forest,0.7,0.8,0.1,0.1,0.2,"DENSE, SPOOKY, FOREST",net.minecraft.world.biome.BiomeGenForest
30,Cold Taiga,-0.5,0.4,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",net.minecraft.world.biome.BiomeGenTaiga
31,Cold Taiga Hills,-0.5,0.4,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenTaiga
32,Mega Taiga,0.3,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",net.minecraft.world.biome.BiomeGenTaiga
33,Mega Taiga Hills,0.3,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",net.minecraft.world.biome.BiomeGenTaiga
34,Extreme Hills+,0.2,0.3,0.1,1.0,0.5,"SPARSE, FOREST, MOUNTAIN",net.minecraft.world.biome.BiomeGenHills
35,Savanna,1.2,0.0,0.1,0.125,0.05,"HOT, SPARSE, SAVANNA, PLAINS",net.minecraft.world.biome.BiomeGenSavanna
36,Savanna Plateau,1.0,0.0,0.1,1.5,0.025,"HOT, SPARSE, SAVANNA, PLAINS",net.minecraft.world.biome.BiomeGenSavanna
37,Mesa,2.0,0.0,0.1,0.1,0.2,"MESA, SANDY",net.minecraft.world.biome.BiomeGenMesa
38,Mesa Plateau F,2.0,0.0,0.1,1.5,0.025,"SPARSE, MESA, SANDY",net.minecraft.world.biome.BiomeGenMesa
39,Mesa Plateau,2.0,0.0,0.1,1.5,0.025,"MESA, SANDY",net.minecraft.world.biome.BiomeGenMesa
40,Green Swamplands,0.7,0.9,0.1,-0.05,0.15,"OCEAN, RIVER, SWAMP",extrabiomes.module.summa.biome.BiomeGreenSwamp
41,Ice Wasteland,0.0,0.1,0.1,0.35,0.05,"SNOWY, WASTELAND",extrabiomes.module.summa.biome.BiomeIceWasteland
43,Meadow,0.5,0.5,0.1,0.1,0.03125,PLAINS,extrabiomes.module.summa.biome.BiomeMeadow
44,Mini Jungle,0.95,0.9,0.1,0.4,0.2,JUNGLE,extrabiomes.module.summa.biome.BiomeMiniJungle
45,Mountainous Desert,2.0,0.0,0.1,0.9,0.5,"MOUNTAIN, SANDY",extrabiomes.module.summa.biome.BiomeMountainDesert
46,Red Rock Mountains,2.0,0.0,0.1,1.7,-0.1,"MOUNTAIN, SANDY",extrabiomes.module.summa.biome.BiomeMountainRidge
47,Mountain Taiga,0.0,0.8,0.1,0.75,0.45,"FOREST, MOUNTAIN, SNOWY",extrabiomes.module.summa.biome.BiomeMountainTaiga
48,Pine Forest,0.7,0.8,0.1,0.2,0.1,FOREST,extrabiomes.module.summa.biome.BiomePineForest
49,Rainforest,1.1,1.4,0.1,0.85,0.45,"JUNGLE, HILLS",extrabiomes.module.summa.biome.BiomeRainforest
50,Redwood Forest,1.1,1.4,0.1,1.2,0.3,"FOREST, HILLS",extrabiomes.module.summa.biome.BiomeRedwoodForest
51,Lush Redwoods,1.1,1.4,0.1,1.2,0.3,"FOREST, HILLS",extrabiomes.module.summa.biome.BiomeRedwoodLush
52,Savanna,2.0,0.0,0.1,0.1,0.05,"PLAINS, SANDY",extrabiomes.module.summa.biome.BiomeSavanna
53,Shrubland,0.4,0.6,0.1,0.2,0.1,PLAINS,extrabiomes.module.summa.biome.BiomeShrubland
54,Snow Forest,0.25,0.8,0.1,0.3,0.2,"FOREST, SNOWY",extrabiomes.module.summa.biome.BiomeSnowForest
55,Snowy Rainforest,0.25,1.3,0.1,0.95,0.55,"FOREST, HILLS, SNOWY",extrabiomes.module.summa.biome.BiomeSnowRainforest
56,Temperate Rainforest,0.6,0.9,0.1,0.95,0.55,"FOREST, HILLS",extrabiomes.module.summa.biome.BiomeTemporateRainforest
57,Tundra,0.0,0.0,0.1,0.1,0.1,"SANDY, SNOWY",extrabiomes.module.summa.biome.BiomeTundra
58,Wasteland,2.0,0.0,0.1,0.1,0.0,WASTELAND,extrabiomes.module.summa.biome.BiomeWasteland
59,Woodlands,0.7,0.8,0.1,0.3,0.1,FOREST,extrabiomes.module.summa.biome.BiomeWoodlands
60,Alpine,0.0,0.1,0.1,1.7,0.4,"MOUNTAIN, SNOWY",extrabiomes.module.summa.biome.BiomeAlpine
61,Autumn Woods,0.7,0.8,0.1,0.5,0.4,FOREST,extrabiomes.module.summa.biome.BiomeAutumnWoods
62,Birch Forest,0.4,0.7,0.1,0.2,0.2,FOREST,extrabiomes.module.summa.biome.BiomeBirchForest
63,Extreme Jungle,0.95,0.9,0.1,1.2,0.1,"JUNGLE, MOUNTAIN",extrabiomes.module.summa.biome.BiomeExtremeJungle
64,Forested Hills,0.59999996,0.8,0.1,1.0,0.8,"FOREST, HILLS",extrabiomes.module.summa.biome.BiomeForestedHills
65,Forested Island,0.8,0.8,0.1,0.0,0.8,"FOREST, BEACH",extrabiomes.module.summa.biome.BiomeForestedIsland
66,Glacier,0.0,0.0,0.1,1.75,0.35,"MOUNTAIN, SNOWY, WASTELAND",extrabiomes.module.summa.biome.BiomeGlacier
67,Green Hills,0.59999996,0.90000004,0.1,0.9,0.3,HILLS,extrabiomes.module.summa.biome.BiomeGreenHills
129,Sunflower Plains,0.8,0.4,0.1,0.125,0.05,PLAINS,net.minecraft.world.biome.BiomeGenPlains
130,Desert M,2.0,0.0,0.1,0.225,0.25,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMutated
131,Extreme Hills M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
132,Flower Forest,0.7,0.8,0.1,0.1,0.4,"FOREST, HILLS",net.minecraft.world.biome.BiomeGenForest
133,Taiga M,0.25,0.8,0.1,0.3,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
134,Swampland M,0.8,0.9,0.1,-0.1,0.3,"WET, SWAMP",net.minecraft.world.biome.BiomeGenMutated
140,Ice Plains Spikes,0.0,0.5,0.1,0.425,0.45000002,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenSnow
149,Jungle M,0.95,0.9,0.1,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
151,JungleEdge M,0.95,0.8,0.1,0.2,0.4,"HOT, HILLS",net.minecraft.world.biome.BiomeGenMutated
155,Birch Forest M,0.6,0.6,0.1,0.2,0.4,HILLS,null
156,Birch Forest Hills M,0.6,0.6,0.1,0.55,0.5,HILLS,null
157,Roofed Forest M,0.7,0.8,0.1,0.2,0.4,HILLS,null
158,Cold Taiga M,-0.5,0.4,0.1,0.3,0.4,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenMutated
160,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
161,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
162,Extreme Hills+ M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
163,Savanna M,1.1,0.0,0.1,0.3625,1.225,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
164,Savanna Plateau M,1.0,0.0,0.1,1.05,1.2125001,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
165,Mesa (Bryce),2.0,0.0,0.1,0.1,0.2,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
166,Mesa Plateau F M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, FOREST, SANDY",net.minecraft.world.biome.BiomeGenMesa
167,Mesa Plateau M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
170,BambooForest,0.7,0.8,0.1,0.1,0.2,FOREST,growthcraft.bamboo.BiomeGenBamboo
200,Alps,0.0,0.7,0.1,1.1,0.5,"COLD, SPARSE, MOUNTAIN, HILLS, SNOWY",highlands.biome.BiomeGenAlps
201,Autumn Forest,0.6,0.5,0.1,0.1,0.2,"DENSE, FOREST",highlands.biome.BiomeGenAutumnForest
202,Badlands,0.6,0.1,0.1,0.8,0.45,"SPARSE, DRY, HILLS, WASTELAND",exterminatorJeff.undergroundBiomes.intermod.BiomeGenUBBadlands
203,Birch Hills,0.6,0.8,0.1,0.6,0.5,"FOREST, HILLS",highlands.biome.BiomeGenBirchHills
204,Bog,0.7,1.2,0.1,-0.2,0.1,"WET, SWAMP",highlands.biome.BiomeGenBog
205,Cliffs,0.4,0.4,0.1,1.0,0.5,"SPARSE, MOUNTAIN, HILLS",exterminatorJeff.undergroundBiomes.intermod.BiomeGenUBCliffs
206,Desert Mountains,0.9,0.0,0.1,0.1,0.2,"HOT, DRY, PLAINS, MOUNTAIN, SANDY",exterminatorJeff.undergroundBiomes.intermod.BiomeGenUBDesertMountains
207,WyvernBiome,0.5,0.5,0.1,0.3,1.5,"HOT, DRY, HILLS, SANDY",drzhark.mocreatures.dimension.BiomeGenWyvernLair
208,Estuary,0.8,0.9,0.1,-0.28,0.1,"DENSE, WET, SWAMP, SANDY, BEACH",highlands.biome.BiomeGenEstuary
209,Flying Mountains,0.7,1.2,0.1,-1.5,1.8,"DENSE, WET, MAGICAL, OCEAN, RIVER, MOUNTAIN",highlands.biome.BiomeGenFlyingMountains
210,Glacier,0.0,0.3,0.1,1.0,0.7,"COLD, HILLS, SNOWY",highlands.biome.BiomeGenGlacier
211,Highlands,0.6,0.2,0.1,1.6,0.5,"FOREST, HILLS",highlands.biome.BiomeGenHighlands
212,Lowlands,0.5,1.2,0.1,-0.2,0.5,"SPARSE, WET, FOREST, PLAINS, HILLS",highlands.biome.BiomeGenLowlands
213,Meadow,0.6,0.8,0.1,0.1,0.1,PLAINS,highlands.biome.BiomeGenMeadow
214,Outback,1.6,0.1,0.1,0.1,0.3,"HOT, SPARSE, DRY, PLAINS, SANDY",highlands.biome.BiomeGenOutback
215,Pinelands,0.5,0.6,0.1,0.6,0.3,"FOREST, HILLS",highlands.biome.BiomeGenPinelands
216,Rainforest,0.8,1.0,0.1,0.2,0.4,"DENSE, WET, JUNGLE, FOREST, HILLS",highlands.biome.BiomeGenRainforest
217,Redwood Forest,0.6,0.2,0.1,0.5,0.4,"FOREST, HILLS",highlands.biome.BiomeGenRedwoodForest
218,Rock Mountains,0.6,0.5,0.1,1.8,0.5,"MOUNTAIN, HILLS",exterminatorJeff.undergroundBiomes.intermod.BiomeGenUBRockMountains
219,Sahel,1.6,0.1,0.1,0.25,0.4,"HOT, SPARSE, DRY, PLAINS, HILLS, SANDY",highlands.biome.BiomeGenSahel
220,Savannah,1.2,0.1,0.1,0.2,0.2,"HOT, DRY, SAVANNA, PLAINS",highlands.biome.BiomeGenSavannah
221,Steppe,0.6,0.1,0.1,1.0,1.0,"DRY, PLAINS, HILLS",highlands.biome.BiomeGenSteppe
222,Snow Mountains,0.0,0.5,0.1,2.0,1.0,"COLD, MOUNTAIN, HILLS, SNOWY",highlands.biome.BiomeGenSnowMountains
223,Tall Pine Forest,0.1,0.8,0.1,0.2,0.7,"COLD, CONIFEROUS, FOREST, HILLS, SNOWY",highlands.biome.BiomeGenTallPineForest
224,Tropics,1.2,1.0,0.1,0.1,0.4,"HOT, DENSE, WET, JUNGLE, HILLS",highlands.biome.BiomeGenTropics
225,Tropical Islands,1.0,1.2,0.1,-0.3,0.5,"HOT, WET, JUNGLE, OCEAN, RIVER, HILLS",highlands.biome.BiomeGenTropicalIslands
226,Tundra,0.0,0.5,0.1,0.1,0.3,"COLD, PLAINS, SNOWY",highlands.biome.BiomeGenTundra
227,Woodlands,0.6,0.6,0.1,0.1,0.2,"DENSE, FOREST",highlands.biome.BiomeGenWoodlands
228,Woodland Mountains,0.6,0.5,0.1,1.8,1.0,"DENSE, FOREST, MOUNTAIN, HILLS",highlands.biome.BiomeGenWoodsMountains
230,Desert Island,0.8,0.4,0.1,0.1,0.1,"SPARSE, PLAINS, SANDY, BEACH",highlands.biome.BiomeGenDesertIsland
231,Forest Island,0.6,0.6,0.1,0.2,0.4,"DENSE, FOREST, HILLS",highlands.biome.BiomeGenWoodlands
232,Jungle Island,1.0,1.2,0.1,0.2,0.4,"HOT, DENSE, WET, JUNGLE, HILLS",net.minecraft.world.biome.BiomeGenJungle
233,Volcano Island,0.8,0.4,0.1,1.7,1.7,"MOUNTAIN, WASTELAND",highlands.biome.BiomeGenVolcanoIsland
234,Snow Island,0.0,0.6,0.1,0.2,0.4,"COLD, DENSE, CONIFEROUS, FOREST, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenTaiga
235,Rock Island,0.4,0.4,0.1,0.0,0.4,"HILLS, WASTELAND",highlands.biome.BiomeGenRockIsland
236,Windy Island,0.5,0.5,0.1,0.1,0.2,PLAINS,net.minecraft.world.biome.BiomeGenOcean
237,Lake,0.8,0.8,0.1,-0.7,0.2,"OCEAN, RIVER, FOREST",highlands.biome.BiomeGenLake
238,Bald Hill,0.5,0.7,0.1,1.0,0.5,"MOUNTAIN, HILLS",highlands.biome.BiomeGenBaldHill
239,Mesa,1.4,0.1,0.1,1.5,1.5,"HOT, DRY, SAVANNA, MOUNTAIN",highlands.biome.BiomeGenMesa
240,Valley,0.7,0.8,0.1,0.1,0.2,"FOREST, PLAINS",net.minecraft.world.biome.BiomeGenForest
241,Oasis,0.9,1.2,0.1,-0.3,0.3,"HOT, WET, JUNGLE, SWAMP",highlands.biome.BiomeGenOasis
242,Canyon,1.6,0.1,0.1,0.1,0.3,"HOT, SPARSE, DRY, PLAINS, SANDY",highlands.biome.BiomeGenOutback
243,Shrubland,0.6,0.5,0.1,0.1,0.3,"SPARSE, PLAINS, HILLS",highlands.biome.BiomeGenShrubland
