Ore Name,ItemStack,Item ID,Display Name,Wildcard
blockCharcoal,1xtile.gardenstuff.stoneBlock@0,GardenStuff:stone_block,Block of Charcoal,false
blockCharcoal,1xtile.metal.block.extra.storage.block@0,Metallurgy:extra.storage.block,Block of Charcoal,false
blockCloth,1xtile.cloth@32767,minecraft:wool,(wildcard),true
blockCoal,1xtile.blockCoal@0,minecraft:coal_block,Block of Coal,false
blockCoal,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalBlack,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoalBlue,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoalBrown,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoalCyan,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoalGray,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoalGreen,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoalLightBlue,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoalLightGray,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoalLime,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoalMagenta,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoalOrange,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoalPink,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoalPurple,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoalRed,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoalWhite,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalYellow,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCobalt,1xtile.tconstruct.metalblock@0,TConstruct:MetalBlock,Block of Cobalt,false
blockCopper,1xtile.thermalfoundation.storage@0,ThermalFoundation:Storage,Copper Block,false
blockCopper,1xtile.tconstruct.metalblock@3,TConstruct:MetalBlock,Block of Copper,false
blockCopper,1xtile.metal.block.base.block@0,Metallurgy:base.block,Copper Block,false
blockDamascusSteel,1xtile.metal.block.base.block@5,Metallurgy:base.block,Damascus Steel Block,false
blockDeepIron,1xtile.metal.block.fantasy.block@1,Metallurgy:fantasy.block,Deep Iron Block,false
blockDesichalkos,1xtile.metal.block.ender.block@2,Metallurgy:ender.block,Desichalkos Block,false
blockDiamond,1xtile.blockDiamond@0,minecraft:diamond_block,Block of Diamond,false
blockElectrum,1xtile.thermalfoundation.storage@7,ThermalFoundation:Storage,Electrum Block,false
blockElectrum,1xtile.metal.block.precious.block@4,Metallurgy:precious.block,Electrum Block,false
blockEmerald,1xtile.blockEmerald@0,minecraft:emerald_block,Block of Emerald,false
blockEnder,1xtile.tconstruct.metalblock@10,TConstruct:MetalBlock,Block of Solid Ender,false
blockEnderCore,1xtile.extrautils:decorativeBlock1@11,ExtraUtilities:decorativeBlock1,Ender Core,false
blockEnderObsidian,1xtile.extrautils:decorativeBlock1@1,ExtraUtilities:decorativeBlock1,Ender-infused Obsidian,false
blockEnderium,1xtile.thermalfoundation.storage@12,ThermalFoundation:Storage,Enderium Block,false
blockEximite,1xtile.metal.block.ender.block@0,Metallurgy:ender.block,Eximite Block,false
blockFairy,1xtile.solid.metal.block.blockFunStuff@0,ExtraTiC:blockFunStuff,Fairy Block,false
blockFlint,1xtile.ganyssurface.storage@0,ganyssurface:storage,Block of Flint,false
blockGlass,1xtile.glass@0,minecraft:glass,Glass,false
blockGlass,1xtile.stainedGlass@32767,minecraft:stained_glass,(wildcard),true
blockGlass,1xtile.GlassBlock@0,TConstruct:GlassBlock,Clear Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@0,ExtraUtilities:decorativeBlock2,Thickened Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@1,ExtraUtilities:decorativeBlock2,Edged Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@2,ExtraUtilities:decorativeBlock2,Glass Bricks,false
blockGlass,1xtile.extrautils:decorativeBlock2@3,ExtraUtilities:decorativeBlock2,Carved Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@6,ExtraUtilities:decorativeBlock2,Swirling Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@9,ExtraUtilities:decorativeBlock2,Square Glass,false
blockGlassBlack,1xtile.stainedGlass@15,minecraft:stained_glass,Black Stained Glass,false
blockGlassBlue,1xtile.stainedGlass@11,minecraft:stained_glass,Blue Stained Glass,false
blockGlassBrown,1xtile.stainedGlass@12,minecraft:stained_glass,Brown Stained Glass,false
blockGlassColorless,1xtile.glass@0,minecraft:glass,Glass,false
blockGlassCyan,1xtile.stainedGlass@9,minecraft:stained_glass,Cyan Stained Glass,false
blockGlassGray,1xtile.stainedGlass@7,minecraft:stained_glass,Gray Stained Glass,false
blockGlassGreen,1xtile.stainedGlass@13,minecraft:stained_glass,Green Stained Glass,false
blockGlassHardened,1xtile.block.blastglass@0,RotaryCraft:rotarycraft_block_blastglass,Blast Glass,false
blockGlassLightBlue,1xtile.stainedGlass@3,minecraft:stained_glass,Light Blue Stained Glass,false
blockGlassLightGray,1xtile.stainedGlass@8,minecraft:stained_glass,Light Gray Stained Glass,false
blockGlassLime,1xtile.stainedGlass@5,minecraft:stained_glass,Lime Stained Glass,false
blockGlassMagenta,1xtile.stainedGlass@2,minecraft:stained_glass,Magenta Stained Glass,false
blockGlassOrange,1xtile.stainedGlass@1,minecraft:stained_glass,Orange Stained Glass,false
blockGlassPink,1xtile.stainedGlass@6,minecraft:stained_glass,Pink Stained Glass,false
blockGlassPurple,1xtile.stainedGlass@10,minecraft:stained_glass,Purple Stained Glass,false
blockGlassRed,1xtile.stainedGlass@14,minecraft:stained_glass,Red Stained Glass,false
blockGlassSandy,1xtile.extrautils:decorativeBlock1@9,ExtraUtilities:decorativeBlock1,Sandy Glass,false
blockGlassWhite,1xtile.stainedGlass@0,minecraft:stained_glass,White Stained Glass,false
blockGlassYellow,1xtile.stainedGlass@4,minecraft:stained_glass,Yellow Stained Glass,false
blockGold,1xtile.blockGold@0,minecraft:gold_block,Block of Gold,false
blockHaderoth,1xtile.metal.block.fantasy.block@10,Metallurgy:fantasy.block,Haderoth Block,false
blockHepatizon,1xtile.metal.block.base.block@4,Metallurgy:base.block,Hepatizon Block,false
blockIcestone,1xtile.extrautils:decorativeBlock1@3,ExtraUtilities:decorativeBlock1,Frosted Stone,false
blockIgnatius,1xtile.metal.block.nether.block@0,Metallurgy:nether.block,Ignatius Block,false
blockInfuscolium,1xtile.metal.block.fantasy.block@2,Metallurgy:fantasy.block,Infuscolium Block,false
blockInolashite,1xtile.metal.block.nether.block@11,Metallurgy:nether.block,Inolashite Block,false
blockInvar,1xtile.thermalfoundation.storage@8,ThermalFoundation:Storage,Invar Block,false
blockIron,1xtile.blockIron@0,minecraft:iron_block,Block of Iron,false
blockKalendrite,1xtile.metal.block.nether.block@7,Metallurgy:nether.block,Kalendrite Block,false
blockLapis,1xtile.blockLapis@0,minecraft:lapis_block,Lapis Lazuli Block,false
blockLapis,1xtile.extrautils:color_blockLapis@0,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (White Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@1,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Orange Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@2,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Magenta Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@3,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Blue Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@4,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Yellow Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@5,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Lime Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@6,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Pink Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@7,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Gray Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@8,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Gray Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@9,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Cyan Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@10,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Purple Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@11,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Blue Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@12,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Brown Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@13,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Green Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@14,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Red Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@15,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Black Frequency),false
blockLapisBlack,1xtile.extrautils:color_blockLapis@0,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (White Frequency),false
blockLapisBlue,1xtile.extrautils:color_blockLapis@4,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Yellow Frequency),false
blockLapisBrown,1xtile.extrautils:color_blockLapis@3,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Blue Frequency),false
blockLapisCyan,1xtile.extrautils:color_blockLapis@6,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Pink Frequency),false
blockLapisGray,1xtile.extrautils:color_blockLapis@8,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Gray Frequency),false
blockLapisGreen,1xtile.extrautils:color_blockLapis@2,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Magenta Frequency),false
blockLapisLightBlue,1xtile.extrautils:color_blockLapis@12,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Brown Frequency),false
blockLapisLightGray,1xtile.extrautils:color_blockLapis@7,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Gray Frequency),false
blockLapisLime,1xtile.extrautils:color_blockLapis@10,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Purple Frequency),false
blockLapisMagenta,1xtile.extrautils:color_blockLapis@13,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Green Frequency),false
blockLapisOrange,1xtile.extrautils:color_blockLapis@14,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Red Frequency),false
blockLapisPink,1xtile.extrautils:color_blockLapis@9,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Cyan Frequency),false
blockLapisPurple,1xtile.extrautils:color_blockLapis@5,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Lime Frequency),false
blockLapisRed,1xtile.extrautils:color_blockLapis@1,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Orange Frequency),false
blockLapisWhite,1xtile.extrautils:color_blockLapis@15,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Black Frequency),false
blockLapisYellow,1xtile.extrautils:color_blockLapis@11,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Blue Frequency),false
blockLead,1xtile.thermalfoundation.storage@3,ThermalFoundation:Storage,Lead Block,false
blockLemurite,1xtile.metal.block.nether.block@2,Metallurgy:nether.block,Lemurite Block,false
blockLimestone,1xtile.sedimentaryStone@0,UndergroundBiomes:sedimentaryStone,Limestone,false
blockLumium,1xtile.thermalfoundation.storage@11,ThermalFoundation:Storage,Lumium Block,false
blockMagicWood,1xtile.extrautils:decorativeBlock1@7,ExtraUtilities:decorativeBlock1,Border Stone (Alternate),false
blockMagnesium,1xtile.metal.block.utility.block@3,Metallurgy:utility.block,Magnesium Block,false
blockManganese,1xtile.metal.block.base.block@2,Metallurgy:base.block,Manganese Block,false
blockManyullyn,1xtile.tconstruct.metalblock@2,TConstruct:MetalBlock,Block of Manyullyn,false
blockMarble,1xtile.chisel.marble@0,chisel:marble,Marble,false
blockMarble,1xtile.metamorphicStone@2,UndergroundBiomes:metamorphicStone,Marble,false
blockMeutoite,1xtile.metal.block.ender.block@1,Metallurgy:ender.block,Meutoite Block,false
blockMidasium,1xtile.metal.block.nether.block@3,Metallurgy:nether.block,Midasium Block,false
blockMithril,1xtile.thermalfoundation.storage@6,ThermalFoundation:Storage,Mana Infused Block,false
blockMithril,1xtile.metal.block.fantasy.block@7,Metallurgy:fantasy.block,Mithril Block,false
blockNickel,1xtile.thermalfoundation.storage@4,ThermalFoundation:Storage,Ferrous Block,false
blockOrichalcum,1xtile.metal.block.fantasy.block@11,Metallurgy:fantasy.block,Orichalcum Block,false
blockOureclase,1xtile.metal.block.fantasy.block@4,Metallurgy:fantasy.block,Oureclase Block,false
blockPhosphorite,1xtile.metal.block.utility.block@1,Metallurgy:utility.block,Phosphorite Block,false
blockPlatinum,1xtile.thermalfoundation.storage@5,ThermalFoundation:Storage,Shiny Block,false
blockPlatinum,1xtile.metal.block.precious.block@2,Metallurgy:precious.block,Platinum Block,false
blockPokefennium,1xtile.solid.metal.block.blockFunStuff@1,ExtraTiC:blockFunStuff,Pokefennium Block,false
blockPotash,1xtile.metal.block.utility.block@5,Metallurgy:utility.block,Potash Block,false
blockPrismarine,1xtile.ganyssurface.prismarineBlocks@32767,ganyssurface:prismarineBlocks,(wildcard),true
blockPrometheum,1xtile.metal.block.fantasy.block@0,Metallurgy:fantasy.block,Prometheum Block,false
blockQuartz,1xtile.quartzBlock@0,minecraft:quartz_block,Block of Quartz,false
blockQuicksilver,1xtile.metal.block.fantasy.block@9,Metallurgy:fantasy.block,Quicksilver Block,false
blockRedstone,1xtile.blockRedstone@0,minecraft:redstone_block,Block of Redstone,false
blockRedstone,1xtile.extrautils:color_blockRedstone@0,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (White Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@1,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Orange Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@2,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Magenta Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@3,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Blue Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@4,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Yellow Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@5,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Lime Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@6,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Pink Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@7,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Gray Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@8,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Gray Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@9,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Cyan Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@10,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Purple Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@11,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Blue Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@12,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Brown Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@13,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Green Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@14,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Red Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@15,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Black Frequency),false
blockRedstoneBlack,1xtile.extrautils:color_blockRedstone@0,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (White Frequency),false
blockRedstoneBlue,1xtile.extrautils:color_blockRedstone@4,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Yellow Frequency),false
blockRedstoneBrown,1xtile.extrautils:color_blockRedstone@3,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Blue Frequency),false
blockRedstoneCyan,1xtile.extrautils:color_blockRedstone@6,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Pink Frequency),false
blockRedstoneGray,1xtile.extrautils:color_blockRedstone@8,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Gray Frequency),false
blockRedstoneGreen,1xtile.extrautils:color_blockRedstone@2,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Magenta Frequency),false
blockRedstoneLightBlue,1xtile.extrautils:color_blockRedstone@12,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Brown Frequency),false
blockRedstoneLightGray,1xtile.extrautils:color_blockRedstone@7,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Gray Frequency),false
blockRedstoneLime,1xtile.extrautils:color_blockRedstone@10,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Purple Frequency),false
blockRedstoneMagenta,1xtile.extrautils:color_blockRedstone@13,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Green Frequency),false
blockRedstoneOrange,1xtile.extrautils:color_blockRedstone@14,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Red Frequency),false
blockRedstonePink,1xtile.extrautils:color_blockRedstone@9,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Cyan Frequency),false
blockRedstonePurple,1xtile.extrautils:color_blockRedstone@5,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Lime Frequency),false
blockRedstoneRed,1xtile.extrautils:color_blockRedstone@1,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Orange Frequency),false
blockRedstoneWhite,1xtile.extrautils:color_blockRedstone@15,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Black Frequency),false
blockRedstoneYellow,1xtile.extrautils:color_blockRedstone@11,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Blue Frequency),false
blockRubber,1xtile.GlueBlock@0,TConstruct:GlueBlock,Glue Block,false
blockRubracium,1xtile.metal.block.fantasy.block@8,Metallurgy:fantasy.block,Rubracium Block,false
blockSaltpeter,1xtile.metal.block.utility.block@2,Metallurgy:utility.block,Saltpeter Block,false
blockSanguinite,1xtile.metal.block.nether.block@9,Metallurgy:nether.block,Sanguinite Block,false
blockShadowIron,1xtile.metal.block.nether.block@1,Metallurgy:nether.block,Shadow Iron Block,false
blockShadowSteel,1xtile.metal.block.nether.block@10,Metallurgy:nether.block,Shadow Steel Block,false
blockSignalum,1xtile.thermalfoundation.storage@10,ThermalFoundation:Storage,Signalum Block,false
blockSilver,1xtile.thermalfoundation.storage@2,ThermalFoundation:Storage,Silver Block,false
blockSilver,1xtile.metal.block.precious.block@1,Metallurgy:precious.block,Silver Block,false
blockSteel,1xtile.tconstruct.metalblock@9,TConstruct:MetalBlock,Block of Steel,false
blockSteel,1xtile.metal.block.base.block@7,Metallurgy:base.block,Steel Block,false
blockSulfur,1xtile.metal.block.utility.block@0,Metallurgy:utility.block,Sulfur block,false
blockTartarite,1xtile.metal.block.fantasy.block@15,Metallurgy:fantasy.block,Tartarite Block,false
blockTin,1xtile.thermalfoundation.storage@1,ThermalFoundation:Storage,Tin Block,false
blockTin,1xtile.tconstruct.metalblock@5,TConstruct:MetalBlock,Block of Tin,false
blockTin,1xtile.metal.block.base.block@1,Metallurgy:base.block,Tin Block,false
blockUnstable,1xtile.extrautils:decorativeBlock1@5,ExtraUtilities:decorativeBlock1,Unstable Ingot Block,false
blockVulcanite,1xtile.metal.block.nether.block@8,Metallurgy:nether.block,Vulcanite Block,false
blockVyroxeres,1xtile.metal.block.nether.block@4,Metallurgy:nether.block,Vyroxeres Block,false
blockWaterstone,1xtile.chisel.waterstone@0,chisel:waterstone,Waterstone,false
blockWoolBlack,1xtile.cloth@15,minecraft:wool,Black Wool,false
blockWoolBlue,1xtile.cloth@11,minecraft:wool,Blue Wool,false
blockWoolBrown,1xtile.cloth@12,minecraft:wool,Brown Wool,false
blockWoolCyan,1xtile.cloth@9,minecraft:wool,Cyan Wool,false
blockWoolGray,1xtile.cloth@7,minecraft:wool,Gray Wool,false
blockWoolGreen,1xtile.cloth@13,minecraft:wool,Green Wool,false
blockWoolLightBlue,1xtile.cloth@3,minecraft:wool,Light Blue Wool,false
blockWoolLightGray,1xtile.cloth@8,minecraft:wool,Light Gray Wool,false
blockWoolLime,1xtile.cloth@5,minecraft:wool,Lime Wool,false
blockWoolMagenta,1xtile.cloth@2,minecraft:wool,Magenta Wool,false
blockWoolOrange,1xtile.cloth@1,minecraft:wool,Orange Wool,false
