Name,ID,Has Item,Mod,Class
minecraft:lever,69,true,null,net.minecraft.block.BlockLever
minecraft:stone_pressure_plate,70,true,null,net.minecraft.block.BlockPressurePlate
minecraft:iron_door,71,true,null,net.minecraft.block.BlockDoor
minecraft:wooden_pressure_plate,72,true,null,net.minecraft.block.BlockPressurePlate
minecraft:redstone_ore,73,true,null,net.minecraft.block.BlockRedstoneOre
minecraft:lit_redstone_ore,74,true,null,net.minecraft.block.BlockRedstoneOre
minecraft:unlit_redstone_torch,75,true,null,net.minecraft.block.BlockRedstoneTorch
minecraft:redstone_torch,76,true,null,net.minecraft.block.BlockRedstoneTorch
minecraft:stone_button,77,true,null,net.minecraft.block.BlockButtonStone
minecraft:snow_layer,78,true,null,net.minecraft.block.BlockSnow
minecraft:ice,79,true,null,net.minecraft.block.BlockIce
minecraft:snow,80,true,null,net.minecraft.block.BlockSnowBlock
minecraft:cactus,81,true,null,net.minecraft.block.BlockCactus
minecraft:clay,82,true,null,net.minecraft.block.BlockClay
minecraft:reeds,83,true,null,net.minecraft.block.BlockReed
minecraft:jukebox,84,true,null,net.minecraft.block.BlockJukebox
minecraft:fence,85,true,null,net.minecraft.block.BlockFence
minecraft:pumpkin,86,true,null,net.minecraft.block.BlockPumpkin
minecraft:netherrack,87,true,null,net.minecraft.block.BlockNetherrack
minecraft:soul_sand,88,true,null,net.minecraft.block.BlockSoulSand
minecraft:glowstone,89,true,null,net.minecraft.block.BlockGlowstone
minecraft:portal,90,true,null,net.minecraft.block.BlockPortal
minecraft:lit_pumpkin,91,true,null,net.minecraft.block.BlockPumpkin
minecraft:cake,92,true,null,net.minecraft.block.BlockCake
minecraft:unpowered_repeater,93,true,null,net.minecraft.block.BlockRedstoneRepeater
minecraft:powered_repeater,94,true,null,net.minecraft.block.BlockRedstoneRepeater
minecraft:stained_glass,95,true,null,net.minecraft.block.BlockStainedGlass
minecraft:trapdoor,96,true,null,net.minecraft.block.BlockTrapDoor
minecraft:monster_egg,97,true,null,net.minecraft.block.BlockSilverfish
minecraft:stonebrick,98,true,null,net.minecraft.block.BlockStoneBrick
minecraft:brown_mushroom_block,99,true,null,net.minecraft.block.BlockHugeMushroom
minecraft:red_mushroom_block,100,true,null,net.minecraft.block.BlockHugeMushroom
minecraft:iron_bars,101,true,null,net.minecraft.block.BlockPane
minecraft:glass_pane,102,true,null,net.minecraft.block.BlockPane
minecraft:melon_block,103,true,null,net.minecraft.block.BlockMelon
minecraft:pumpkin_stem,104,true,null,net.minecraft.block.BlockStem
minecraft:melon_stem,105,true,null,net.minecraft.block.BlockStem
minecraft:vine,106,true,null,net.minecraft.block.BlockVine
minecraft:fence_gate,107,true,null,net.minecraft.block.BlockFenceGate
minecraft:brick_stairs,108,true,null,net.minecraft.block.BlockStairs
minecraft:stone_brick_stairs,109,true,null,net.minecraft.block.BlockStairs
minecraft:mycelium,110,true,null,net.minecraft.block.BlockMycelium
minecraft:waterlily,111,true,null,net.minecraft.block.BlockLilyPad
minecraft:nether_brick,112,true,null,net.minecraft.block.Block
minecraft:nether_brick_fence,113,true,null,net.minecraft.block.BlockFence
minecraft:nether_brick_stairs,114,true,null,net.minecraft.block.BlockStairs
minecraft:nether_wart,115,true,null,net.minecraft.block.BlockNetherWart
minecraft:enchanting_table,116,true,null,net.minecraft.block.BlockEnchantmentTable
minecraft:brewing_stand,117,true,null,net.minecraft.block.BlockBrewingStand
minecraft:cauldron,118,true,null,net.minecraft.block.BlockCauldron
minecraft:end_portal,119,true,null,net.minecraft.block.BlockEndPortal
minecraft:end_portal_frame,120,true,null,net.minecraft.block.BlockEndPortalFrame
minecraft:end_stone,121,true,null,net.minecraft.block.Block
minecraft:dragon_egg,122,true,null,net.minecraft.block.BlockDragonEgg
minecraft:redstone_lamp,123,true,null,net.minecraft.block.BlockRedstoneLight
minecraft:lit_redstone_lamp,124,true,null,net.minecraft.block.BlockRedstoneLight
minecraft:double_wooden_slab,125,true,null,net.minecraft.block.BlockWoodSlab
minecraft:wooden_slab,126,true,null,net.minecraft.block.BlockWoodSlab
minecraft:cocoa,127,true,null,net.minecraft.block.BlockCocoa
minecraft:sandstone_stairs,128,true,null,net.minecraft.block.BlockStairs
minecraft:emerald_ore,129,true,null,net.minecraft.block.BlockOre
minecraft:ender_chest,130,true,null,net.minecraft.block.BlockEnderChest
minecraft:tripwire_hook,131,true,null,net.minecraft.block.BlockTripWireHook
minecraft:tripwire,132,true,null,net.minecraft.block.BlockTripWire
minecraft:emerald_block,133,true,null,net.minecraft.block.BlockCompressed
minecraft:spruce_stairs,134,true,null,net.minecraft.block.BlockStairs
minecraft:birch_stairs,135,true,null,net.minecraft.block.BlockStairs
minecraft:jungle_stairs,136,true,null,net.minecraft.block.BlockStairs
minecraft:command_block,137,true,null,net.minecraft.block.BlockCommandBlock
minecraft:beacon,138,true,null,net.minecraft.block.BlockBeacon
minecraft:cobblestone_wall,139,true,null,net.minecraft.block.BlockWall
minecraft:flower_pot,140,true,null,net.minecraft.block.BlockFlowerPot
minecraft:carrots,141,true,null,net.minecraft.block.BlockCarrot
minecraft:potatoes,142,true,null,net.minecraft.block.BlockPotato
minecraft:wooden_button,143,true,null,net.minecraft.block.BlockButtonWood
minecraft:skull,144,true,null,net.minecraft.block.BlockSkull
minecraft:anvil,145,true,null,net.minecraft.block.BlockAnvil
minecraft:trapped_chest,146,true,null,net.minecraft.block.BlockChest
minecraft:light_weighted_pressure_plate,147,true,null,net.minecraft.block.BlockPressurePlateWeighted
minecraft:heavy_weighted_pressure_plate,148,true,null,net.minecraft.block.BlockPressurePlateWeighted
minecraft:unpowered_comparator,149,true,null,net.minecraft.block.BlockRedstoneComparator
minecraft:powered_comparator,150,true,null,net.minecraft.block.BlockRedstoneComparator
minecraft:daylight_detector,151,true,null,net.minecraft.block.BlockDaylightDetector
minecraft:redstone_block,152,true,null,net.minecraft.block.BlockCompressedPowered
minecraft:quartz_ore,153,true,null,net.minecraft.block.BlockOre
minecraft:hopper,154,true,null,net.minecraft.block.BlockHopper
minecraft:quartz_block,155,true,null,net.minecraft.block.BlockQuartz
minecraft:quartz_stairs,156,true,null,net.minecraft.block.BlockStairs
minecraft:activator_rail,157,true,null,net.minecraft.block.BlockRailPowered
minecraft:dropper,158,true,null,net.minecraft.block.BlockDropper
minecraft:stained_hardened_clay,159,true,null,net.minecraft.block.BlockColored
minecraft:stained_glass_pane,160,true,null,net.minecraft.block.BlockStainedGlassPane
minecraft:leaves2,161,true,null,net.minecraft.block.BlockNewLeaf
minecraft:log2,162,true,null,net.minecraft.block.BlockNewLog
minecraft:acacia_stairs,163,true,null,net.minecraft.block.BlockStairs
minecraft:dark_oak_stairs,164,true,null,net.minecraft.block.BlockStairs
ArchimedesShipsPlus:marker,165,true,null,ckathode.archimedes.blockitem.BlockHelm
ArchimedesShipsPlus:floater,166,true,null,ckathode.archimedes.blockitem.BlockAS
ArchimedesShipsPlus:balloon,167,true,null,net.minecraft.block.BlockColored
ArchimedesShipsPlus:gauge,168,true,null,ckathode.archimedes.blockitem.BlockGauge
ArchimedesShipsPlus:seat,169,true,null,ckathode.archimedes.blockitem.BlockSeat
minecraft:hay_block,170,true,null,net.minecraft.block.BlockHay
minecraft:carpet,171,true,null,net.minecraft.block.BlockCarpet
minecraft:hardened_clay,172,true,null,net.minecraft.block.BlockHardenedClay
minecraft:coal_block,173,true,null,net.minecraft.block.Block
minecraft:packed_ice,174,true,null,net.minecraft.block.BlockPackedIce
minecraft:double_plant,175,true,null,net.minecraft.block.BlockDoublePlant
ArchimedesShipsPlus:buffer,176,true,null,ckathode.archimedes.blockitem.BlockAS
ArchimedesShipsPlus:engine,177,true,null,ckathode.archimedes.blockitem.BlockEngine
ArchimedesShipsPlus:crate_wood,178,true,null,ckathode.archimedes.blockitem.BlockCrate
ArchimedesShipsPlus:anchorPoint,179,true,null,ckathode.archimedes.blockitem.BlockAnchorPoint
ashenwheat:ashWheatCrop,180,true,null,akkamaddi.ashenwheat.code.AshWheatCrop
ashenwheat:ashWheatBale,181,true,null,akkamaddi.ashenwheat.code.AshWheatBale
ashenwheat:scintillaWheatCrop,182,true,null,akkamaddi.ashenwheat.code.ScintillaWheatCrop
ashenwheat:scintillaWheatBale,183,true,null,akkamaddi.ashenwheat.code.ScintillaWheatBale
ashenwheat:ossidVine,184,true,null,akkamaddi.ashenwheat.code.OssidRootCrop
ashenwheat:ossidRoot,185,true,null,akkamaddi.ashenwheat.code.OssidRoot
ashenwheat:ossidLantern,186,true,null,akkamaddi.ashenwheat.code.OssidRoot
ashenwheat:thundergrass,187,true,null,akkamaddi.ashenwheat.code.ThunderGrassCrop
BiblioCraft:BiblioPaneler,188,true,null,jds.bibliocraft.blocks.BlockFurniturePaneler
BiblioCraft:BiblioClipboard,189,true,null,jds.bibliocraft.blocks.BlockClipboard
BiblioCraft:BiblioTypewriter,190,true,null,jds.bibliocraft.blocks.BlockTypewriter
BiblioCraft:BiblioClock,191,true,null,jds.bibliocraft.blocks.BlockClock
BiblioCraft:BiblioFlatPainting,192,true,null,jds.bibliocraft.blocks.BlockPaintingFrameFlat
BiblioCraft:BiblioSimplePainting,193,true,null,jds.bibliocraft.blocks.BlockPaintingFrameSimple
BiblioCraft:BiblioMiddlePainting,194,true,null,jds.bibliocraft.blocks.BlockPaintingFrameMiddle
BiblioCraft:BiblioFancyPainting,195,true,null,jds.bibliocraft.blocks.BlockPaintingFrameFancy
BiblioCraft:BiblioBorderlessPainting,196,true,null,jds.bibliocraft.blocks.BlockPaintingFrameBorderless
BiblioCraft:BiblioPaintPress,197,true,null,jds.bibliocraft.blocks.BlockPaintPress
BiblioCraft:BiblioSwordPedestal,198,true,null,jds.bibliocraft.blocks.BlockSwordPedestal
BiblioCraft:BiblioFancySign,199,true,null,jds.bibliocraft.blocks.BlockFancySign
BiblioCraft:BiblioWorkbench,200,true,null,jds.bibliocraft.blocks.BlockFancyWorkbench
BiblioCraft:BiblioBell,201,true,null,jds.bibliocraft.blocks.BlockBell
BiblioCraft:Bibliotheca,202,true,null,jds.bibliocraft.blocks.BlockBookcase
BiblioCraft:BookcaseFilled,203,true,null,jds.bibliocraft.blocks.BlockBookcaseCreative
BiblioCraft:BiblioPotionShelf,204,true,null,jds.bibliocraft.blocks.BlockPotionShelf
BiblioCraft:BiblioShelf,205,true,null,jds.bibliocraft.blocks.BlockGenericShelf
BiblioCraft:BiblioRack,206,true,null,jds.bibliocraft.blocks.BlockWeaponRack
BiblioCraft:BiblioCase,207,true,null,jds.bibliocraft.blocks.BlockWeaponCase
BiblioCraft:BiblioLabel,208,true,null,jds.bibliocraft.blocks.BlockLabel
BiblioCraft:BiblioDesk,209,true,null,jds.bibliocraft.blocks.BlockWritingDesk
BiblioCraft:BiblioTable,210,true,null,jds.bibliocraft.blocks.BlockTable
BiblioCraft:Armor Stand,211,true,null,jds.bibliocraft.blocks.BlockArmorStand
BiblioCraft:Typesetting Machine,212,true,null,jds.bibliocraft.blocks.BlockTypeMachine
BiblioCraft:Printing Press,213,true,null,jds.bibliocraft.blocks.BlockPrintPress
BiblioCraft:BiblioLantern,214,true,null,jds.bibliocraft.blocks.BlockLantern
BiblioCraft:BiblioIronLantern,215,true,null,jds.bibliocraft.blocks.BlockIronLantern
BiblioCraft:BiblioLamp,216,true,null,jds.bibliocraft.blocks.BlockLamp
BiblioCraft:BiblioIronLamp,217,true,null,jds.bibliocraft.blocks.BlockIronLamp
BiblioCraft:BiblioStuffs,218,true,null,jds.bibliocraft.blocks.BlockStuff
BiblioCraft:BiblioMapFrames,219,true,null,jds.bibliocraft.blocks.BlockMapFrame
BiblioCraft:BiblioSeats,220,true,null,jds.bibliocraft.blocks.BlockSeat
ExtrabiomesXL:leaves_1,221,true,null,extrabiomes.blocks.BlockAutumnLeaves
ExtrabiomesXL:plants4,222,true,null,extrabiomes.blocks.BlockCatTail
ExtrabiomesXL:terrain_blocks2,223,true,null,extrabiomes.blocks.GenericTerrainBlock
ExtrabiomesXL:flower1,224,true,null,extrabiomes.blocks.BlockCustomFlower
ExtrabiomesXL:flower2,225,true,null,extrabiomes.blocks.BlockCustomFlower
ExtrabiomesXL:flower3,226,true,null,extrabiomes.blocks.BlockCustomFlower
ExtrabiomesXL:grass,227,true,null,extrabiomes.blocks.BlockCustomTallGrass
ExtrabiomesXL:leaves_4,228,true,null,extrabiomes.blocks.BlockGreenLeaves
ExtrabiomesXL:leaves_2,229,true,null,extrabiomes.blocks.BlockNewLeaves
ExtrabiomesXL:leaves_3,230,true,null,extrabiomes.blocks.BlockMoreLeaves
ExtrabiomesXL:leaf_pile,231,true,null,extrabiomes.blocks.BlockLeafPile
ExtrabiomesXL:terrain_blocks1,232,true,null,extrabiomes.blocks.BlockRedRock
ExtrabiomesXL:saplings_1,233,true,null,extrabiomes.blocks.BlockCustomSapling
ExtrabiomesXL:saplings_2,234,true,null,extrabiomes.blocks.BlockNewSapling
ExtrabiomesXL:log1,235,true,null,extrabiomes.blocks.BlockCustomLog
ExtrabiomesXL:log2,236,true,null,extrabiomes.blocks.BlockNewLog
ExtrabiomesXL:mini_log_1,237,true,null,extrabiomes.blocks.BlockMiniLog
ExtrabiomesXL:cornerlog_baldcypress,238,true,null,extrabiomes.blocks.BlockNewQuarterLog
ExtrabiomesXL:cornerlog_rainboweucalyptus,239,true,null,extrabiomes.blocks.BlockNewQuarterLog
ExtrabiomesXL:cornerlog_oak,240,true,null,extrabiomes.blocks.BlockNewQuarterLog
ExtrabiomesXL:cornerlog_fir,241,true,null,extrabiomes.blocks.BlockNewQuarterLog
ExtrabiomesXL:cornerlog_redwood,242,true,null,extrabiomes.blocks.BlockNewQuarterLog
ExtrabiomesXL:log_elbow_baldcypress,243,true,null,extrabiomes.blocks.BlockKneeLog
ExtrabiomesXL:log_elbow_rainbow_eucalyptus,244,true,null,extrabiomes.blocks.BlockKneeLog
ExtrabiomesXL:vines,245,true,null,extrabiomes.blocks.BlockCustomVine
ExtrabiomesXL:waterplant1,246,true,null,extrabiomes.blocks.BlockWaterPlant
ExtrabiomesXL:tile.extrabiomes.crop.strawberry,247,true,null,extrabiomes.blocks.BlockCropRegrow
ExtrabiomesXL:quicksand,248,true,null,extrabiomes.module.cautia.block.BlockQuicksand
ExtrabiomesXL:planks,249,true,null,extrabiomes.module.fabrica.block.BlockCustomWood
ExtrabiomesXL:woodslab2,250,true,null,extrabiomes.module.fabrica.block.BlockNewWoodSlab
ExtrabiomesXL:double_woodslab2,251,true,null,extrabiomes.module.fabrica.block.BlockNewWoodSlab
ExtrabiomesXL:woodslab,252,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodSlab
ExtrabiomesXL:double_woodslab,253,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodSlab
ExtrabiomesXL:stairs.redwood,254,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.fir,255,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.acacia,409,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.rainboweucalyptus,410,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.cypress,411,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.baldcypress,412,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.japanesemaple,413,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.autumn,414,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:stairs.sakurablossom,415,true,null,extrabiomes.module.fabrica.block.BlockWoodStairs
ExtrabiomesXL:slabRedRock,416,true,null,extrabiomes.module.fabrica.block.BlockRedRockSlab
ExtrabiomesXL:double_slabRedRock,423,true,null,extrabiomes.module.fabrica.block.BlockRedRockSlab
ExtrabiomesXL:stairsRedCobble,424,true,null,extrabiomes.module.fabrica.block.BlockCustomStairs
ExtrabiomesXL:redrockbrick,425,true,null,extrabiomes.module.fabrica.block.BlockCustomStairs
ExtrabiomesXL:wall,426,true,null,extrabiomes.module.fabrica.block.BlockCustomWall
ExtrabiomesXL:fence,427,true,null,extrabiomes.blocks.BlockCustomFence
ExtrabiomesXL:door_acacia,428,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_autumn,429,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_baldcypress,430,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_cypress,431,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_fir,432,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_japanesemaple,433,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_rainboweucalyptus,434,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_redwood,435,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:door_sakura,436,true,null,extrabiomes.module.fabrica.block.BlockCustomWoodDoor
ExtrabiomesXL:fencegate_acacia,437,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_autumn,438,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_baldcypress,439,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_cypress,440,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_fir,441,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_japanesemaple,442,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_rainboweucalyptus,443,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_redwood,444,true,null,extrabiomes.blocks.BlockCustomFenceGate
ExtrabiomesXL:fencegate_sakura,445,true,null,extrabiomes.blocks.BlockCustomFenceGate
BiblioWoodsEBXL:BiblioWoodBookcase,446,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomBookcase
BiblioWoodsEBXL:BiblioWoodpotshelf,447,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomPotionShelf
BiblioWoodsEBXL:BiblioWoodshelf,448,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomShelf
BiblioWoodsEBXL:BiblioWoodrack,449,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomToolrack
BiblioWoodsEBXL:BiblioWoodcase,450,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomCase0
BiblioWoodsEBXL:BiblioWoodlabel,451,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomLabel
BiblioWoodsEBXL:BiblioWooddesk,452,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomDesk
BiblioWoodsEBXL:BiblioWoodtable,453,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomTable
BiblioWoodsEBXL:BiblioWoodSeat,454,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomSeat
BiblioWoodsEBXL:BiblioWoodMapFrame,455,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomMapFrame
BiblioWoodsEBXL:BiblioWoodFancySign,456,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomFancySign
BiblioWoodsEBXL:BiblioWoodFancyWorkbench,457,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomFancyWorkbench
BiblioWoodsEBXL:BiblioWoodClock,458,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomClock
BiblioWoodsEBXL:BiblioWoodPaintingT0,459,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomPaintingFrameT0
BiblioWoodsEBXL:BiblioWoodPaintingT1,460,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomPaintingFrameT1
BiblioWoodsEBXL:BiblioWoodPaintingT2,461,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomPaintingFrameT2
BiblioWoodsEBXL:BiblioWoodPaintingT3,462,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomPaintingFrameT3
BiblioWoodsEBXL:BiblioWoodPaintingT4,463,true,null,jds.bibliowood.ebxlwood.blocks.BlockCustomPaintingFrameT4
Highlands:hl_cocoa,464,true,null,highlands.block.BlockCocoaPlant2
Highlands:hl_woodPlanks,465,true,null,highlands.block.BlockHighlandsPlanks
Highlands:tile.hl_woodStairs0,466,true,null,highlands.block.BlockHighlandsStairs
Highlands:tile.hl_woodStairs1,467,true,null,highlands.block.BlockHighlandsStairs
Highlands:tile.hl_woodStairs2,468,true,null,highlands.block.BlockHighlandsStairs
Highlands:tile.hl_woodStairs3,469,true,null,highlands.block.BlockHighlandsStairs
Highlands:hl_woodDoubleSlab,470,true,null,highlands.block.BlockHLPlankSlab
Highlands:hl_woodSlab,471,true,null,highlands.block.BlockHLPlankSlab
Highlands:Fir Sapling,472,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_acaciaSapling,473,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_poplarSapling,474,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_redwoodSapling,475,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_canopySapling,476,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_greatOakSapling,477,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_beechSapling,478,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_evgBushSapling,479,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_decBushSapling,480,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_palmSapling,481,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_deadSapling,482,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_ironwoodSapling,483,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_mangroveSapling,484,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_ashSapling,485,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_autumnOrangeSapling,486,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_autumnYellowSapling,487,true,null,highlands.block.BlockHighlandsSapling
Highlands:tile.hl_japaneseMapleSapling,488,true,null,highlands.block.BlockHighlandsSapling2
Highlands:tile.hl_firWood,489,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_acaciaWood,490,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_poplarWood,491,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_redwoodWood,492,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_canopyWood,493,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_mangroveWood,494,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_ashWood,495,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_palmWood,496,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_ironwoodWood,497,true,null,highlands.block.BlockHighlandsLog
Highlands:tile.hl_japaneseMapleWood,498,true,null,highlands.block.BlockHighlandsLog2
